meas_id,stem_id,year,dbh,status_id,crown_class,live_crown_class,decay_class,plot_id,species_id,x,y
HM4848,H1823_1000,2019,7.9,AL,S,B,NA,H1823,TOC,86.75,30.75
HM4852,H1823_1001,2019,9.2,AS,S,A,NA,H1823,TOC,88,30.5
HM4856,H1823_1002,2019,6.5,AL,S,C,NA,H1823,TOC,89.75,30
HM4863,H1823_1004,2019,19.6,AS,I,A,NA,H1823,TOC,88.25,33.75
HM4874,H1823_1007,2019,6.2,DF,NA,NA,F1,H1823,TOC,88.5,38.75
HM4876,H1823_1008,2019,6.5,AL,S,B,NA,H1823,TOC,85,33.25
HM4878,H1823_1009,2019,6.3,AS,S,A,NA,H1823,TOC,87,37.75
HM4882,H1823_101,2019,14.3,AS,I,A,NA,H1823,TOC,34.5,5.25
HM4914,H1823_1017,2019,12.9,AS,I,A,NA,H1823,TOC,97,31
HM4918,H1823_1018,2019,13.5,AS,I,B,NA,H1823,TOC,95.25,31
HM4922,H1823_1019,2019,9.9,AS,S,A,NA,H1823,TOC,91,30.75
HM4926,H1823_102,2019,9.3,AS,S,A,NA,H1823,TOC,39,5.5
HM4930,H1823_1020,2019,13.3,AS,I,A,NA,H1823,TOC,92.5,34
HM4934,H1823_1021,2019,9.3,AS,S,A,NA,H1823,TOC,91,38
HM4938,H1823_1022,2019,11.9,AS,I,A,NA,H1823,TOC,90.5,38.25
HM4942,H1823_1023,2019,23.3,AS,I,A,NA,H1823,TOC,94.75,39
HM4946,H1823_1024,2019,7,AF,S,D,NA,H1823,TOC,96,36.25
HM4950,H1823_1025,2019,12.8,AL,S,A,NA,H1823,TOC,96,35.75
HM4954,H1823_1026,2019,13.1,AS,I,C,NA,H1823,TOC,95.5,35.5
HM4965,H1823_1029,2019,16.7,AS,I,A,NA,H1823,TOC,99,36.25
HM4969,H1823_103,2019,10.5,AS,S,A,NA,H1823,TOC,39,6.25
HM4973,H1823_1030,2019,17.9,AS,I,A,NA,H1823,TOC,98.75,38
HM4975,H1823_1031,2019,6.9,AS,S,A,NA,H1823,TOC,97,34
HM5011,H1823_104,2019,5,AS,S,D,NA,H1823,TOC,39.5,6.5
HM5035,H1823_105,2019,8.1,AS,S,B,NA,H1823,TOC,33,7.5
